,Epochs,Current_State,Pit_Position,Goal_Position,Wall_Position,Action,Reward,Next_State,Epsilon_Boolean,Q_Max,Q1_Current,Q2_Current,Q3_Current,Q4_Current,Q1_Next,Q2_Next,Q3_Next,Q4_Next,Q_Next_Max,Y
24377,2790,6,14,3,5,0,-1,2,0,7.335252285003662,7.335252285003662,4.961381435394287,2.827829360961914,7.126414775848389,7.198521614074707,6.209163665771484,5.725903034210205,9.483304977416992,9.483304977416992,7.534974479675293
24379,2791,14,1,0,15,0,-1,10,0,5.182754993438721,5.182754993438721,2.8914809226989746,4.069881916046143,3.158097743988037,4.981666564941406,1.5457442998886108,4.94319486618042,3.334392786026001,4.981666564941406,3.483499908447266
24380,2791,10,1,0,15,0,-1,6,0,4.960116386413574,4.960116386413574,1.5503417253494265,4.929288864135742,3.341143846511841,3.067873239517212,3.5065293312072754,6.905760288238525,4.25700569152832,6.905760288238525,5.215184259414673
24390,2793,13,3,10,8,3,-1,14,0,6.577087879180908,6.379921913146973,4.752198219299316,6.4566755294799805,6.577087879180908,8.328850746154785,7.195533275604248,7.592477321624756,6.6240410804748535,8.328850746154785,6.495965671539307
24391,2793,14,3,10,8,0,10,10,0,8.268584251403809,8.268584251403809,7.149495124816895,7.494174003601074,6.567174434661865,6.873607635498047,6.824518203735352,7.333936214447021,6.970958709716797,7.333936214447021,10.0
24408,2794,4,6,13,8,1,-1,4,0,-0.1112010776996612,-3.885189056396485,-0.1112010776996612,-0.4050715863704681,-0.5873289704322815,-3.9671454429626474,-0.1378049254417419,-0.4415089786052704,-0.5912582278251648,-0.1378049254417419,-1.1240244328975677
24412,2795,4,2,3,11,3,-1,5,0,4.903792858123779,2.848045110702514,1.65769624710083,2.5738420486450195,4.903792858123779,4.324107646942139,4.350276947021484,3.562081813812256,6.931534290313721,6.931534290313721,5.238380861282349
24413,2795,5,2,3,11,3,-1,6,0,6.926371097564697,4.274857997894287,4.368817329406738,3.558952569961548,6.926371097564697,2.9034953117370605,4.1606926918029785,4.809858322143555,8.023458480834961,8.023458480834961,6.221112632751465
24415,2795,7,2,3,11,0,10,3,0,8.706578254699707,8.706578254699707,5.7698893547058105,5.482903003692627,6.479902267456055,7.064830303192139,6.5619215965271,4.400114059448242,6.445803165435791,7.064830303192139,10.0
24416,2796,0,2,12,14,1,-1,4,0,6.981395244598389,5.609241485595703,6.981395244598389,5.463044166564941,4.655797004699707,4.059916973114014,7.866448402404785,6.431378364562988,6.2857184410095215,7.866448402404785,6.079803562164307
24419,2796,4,2,12,14,1,-1,8,0,7.907721519470215,4.187510967254639,7.907721519470215,6.406017303466797,6.350159168243408,5.583915710449219,10.565232276916504,8.319740295410156,8.148106575012207,10.565232276916504,8.508709049224853
24420,2796,8,2,12,14,1,10,12,0,10.585942268371582,5.673253536224365,10.585942268371582,8.35578441619873,8.206421852111816,8.463006019592285,7.6020731925964355,7.968866348266602,6.139719486236572,8.463006019592285,10.0
24422,2797,9,1,12,7,1,-1,13,0,8.641528129577637,2.7454280853271484,8.641528129577637,8.36792278289795,6.095230579376221,6.909580707550049,7.243066310882568,9.344425201416016,8.304789543151855,9.344425201416016,7.409982681274414
24427,2800,3,9,14,12,1,-1,7,0,5.215387344360352,3.996904611587525,5.215387344360352,4.6305766105651855,3.2584595680236816,3.632920265197754,5.899329662322998,5.453662395477295,4.43427848815918,5.899329662322998,4.309396696090698
24429,2800,11,9,14,12,1,-1,15,0,7.1606035232543945,4.0272088050842285,7.1606035232543945,6.6477532386779785,4.031620979309082,5.869916915893555,7.857840538024902,9.417274475097656,4.790454387664795,9.417274475097656,7.475547027587892
24441,2802,15,4,3,6,1,-1,15,0,0.6749770045280457,0.2471261769533157,0.6749770045280457,-0.1136469841003418,-0.121591031551361,0.2044418901205063,0.6576988697052002,-0.1047119125723838,-0.200774148106575,0.6576988697052002,-0.4080710172653198
24444,2802,13,4,3,6,0,-1,9,0,0.4191187620162964,0.4191187620162964,-0.8167210817337036,-1.658942461013794,-0.2616926729679107,1.715746283531189,-0.2577541470527649,-1.1161656379699707,0.7003219127655029,1.715746283531189,0.5441716551780702
24445,2802,9,4,3,6,0,-1,5,0,1.523776292800903,1.523776292800903,-0.3936546742916107,-1.2243279218673706,0.5098538398742676,5.839020252227783,2.911785125732422,0.3847247660160064,2.331202268600464,5.839020252227783,4.255118227005005
24453,2804,2,11,8,5,2,-1,1,0,4.597696304321289,3.7347686290740967,3.9602925777435294,4.597696304321289,1.683027982711792,4.5927557945251465,5.614892482757568,6.415285587310791,2.7530527114868164,6.415285587310791,4.773757028579712
24454,2804,1,11,8,5,2,-1,0,0,6.445138931274414,4.621872425079346,5.626382350921631,6.445138931274414,2.7446746826171875,6.506235122680664,8.366369247436523,6.401767730712891,2.875260591506958,8.366369247436523,6.529732322692872
24455,2804,0,11,8,5,1,-1,4,0,8.356826782226562,6.527855396270752,8.356826782226562,6.418708801269531,2.880014419555664,5.820676803588867,9.898215293884276,7.281424999237059,2.292930126190185,9.898215293884276,7.90839376449585
24456,2804,4,11,8,5,1,10,8,0,9.884459495544434,5.842648506164551,9.884459495544434,7.270717620849609,2.2918858528137207,8.079121589660645,6.9615983963012695,7.348955154418945,4.947479724884033,8.079121589660645,10.0
24481,2805,4,10,2,1,0,-1,0,0,2.0981333255767822,2.0981333255767822,1.051956057548523,1.1163325309753418,1.1816937923431396,-2.126530408859253,-1.3897221088409424,-1.9786642789840696,-2.63657283782959,-1.3897221088409424,-2.2507498979568483
24485,2805,0,10,2,1,1,-1,4,0,-1.2294381856918335,-2.392854928970337,-1.2294381856918335,-1.869848728179932,-2.187916040420532,0.9346893429756165,0.8642844557762146,0.7594515085220337,0.8817046880722046,0.9346893429756165,-0.1587795913219452
24489,2805,8,10,2,1,3,-1,9,0,2.326556921005249,1.7424120903015137,1.4566839933395386,1.3278522491455078,2.326556921005249,6.371891498565674,1.6787365674972534,1.1904314756393433,-0.9453145265579224,6.371891498565674,4.734702348709106
24493,2805,4,10,2,1,1,-1,8,0,0.7165064215660095,-0.8577848672866821,0.7165064215660095,0.2806734442710876,0.4919782876968384,1.5521634817123413,1.78931725025177,1.343520164489746,2.569321632385254,2.569321632385254,1.3123894691467286
