,Epochs,Current_State,Next_State,Reward,Epsilon_Boolean,Epsilon,Action,Current_Q_Value,Next_Q_Value,Reawrd_Plus_Next_Q_Value,Loss,Pit_Position,Goal_Position,Wall_Position,CurWeight[0],CurWeight[1],CurWeight[2],CurWeight[3],NextWeight[0],NextWeight[1],NextWeight[2],NextWeight[3],Step
55,138,3,7,-1,0,0.09999999999999754,1,-0.11650101840496063,1.4884406328201294,0.3395965099334717,0.20802496373653412,1,0,5,-0.038216,-0.038216,-0.038216,-0.038216,-0.038134,-0.108815,0.096225,-0.033049,3437
56,138,7,11,-1,0,0.09999999999999754,1,1.524634838104248,2.8158607482910156,1.5342745780944824,9.292458707932383e-05,1,0,5,-0.038134,-0.038134,-0.038134,-0.038134,-0.03806,-0.108708,0.096225,-0.03306,3438
57,138,11,10,-1,0,0.09999999999999754,2,2.8384175300598145,4.328592777252197,2.89573335647583,0.0032851039431989193,1,0,5,-0.03806,-0.03806,-0.03806,-0.03806,-0.037994,-0.108612,0.096231,-0.03307,3439
58,138,10,9,-1,0,0.09999999999999754,2,4.363255977630615,5.9853410720825195,4.386806964874268,0.0005546489846892655,1,0,5,-0.037994,-0.037994,-0.037994,-0.037994,-0.037934,-0.108525,0.09624,-0.033079,3440
59,138,9,8,-1,0,0.09999999999999754,2,5.997355937957764,7.818641185760498,6.036777019500732,0.0015540216118097305,1,0,5,-0.037934,-0.037934,-0.037934,-0.037934,-0.03788,-0.108447,0.096253,-0.033087,3441
60,138,8,4,-1,0,0.09999999999999754,0,7.8499016761779785,9.841955184936523,7.857759475708008,6.174501322675496e-05,1,0,5,-0.03788,-0.03788,-0.03788,-0.03788,-0.037831,-0.108377,0.096264,-0.033094,3442
61,138,4,0,10,0,0.09999999999999754,0,9.87205982208252,5.48780632019043,10.0,0.016368689015507698,1,0,5,-0.037831,-0.037831,-0.037831,-0.037831,-0.037775,-0.108314,0.096274,-0.0331,3443
62,139,3,7,-1,0,0.09999999999999754,1,0.8363654613494873,1.9411134719848633,0.747002124786377,0.007985806092619896,1,0,5,-0.037775,-0.037775,-0.037775,-0.037775,-0.037725,-0.108281,0.096284,-0.033106,3444
63,139,7,11,-1,0,0.09999999999999754,1,1.9572772979736328,2.7230823040008545,1.4507739543914795,0.25654563307762146,1,0,5,-0.037725,-0.037725,-0.037725,-0.037725,-0.03768,-0.108391,0.096292,-0.033111,3445
64,139,11,10,-1,0,0.09999999999999754,2,2.725391387939453,4.037377834320068,2.6336400508880615,0.008418307639658451,1,0,5,-0.03768,-0.03768,-0.03768,-0.03768,-0.037639,-0.108491,0.096288,-0.033116,3446
65,139,10,9,-1,0,0.09999999999999754,2,4.039904594421387,5.97437047958374,4.3769330978393555,0.11358821392059326,1,0,5,-0.037639,-0.037639,-0.037639,-0.037639,-0.037603,-0.10858,0.096327,-0.03312,3447
66,139,9,8,-1,0,0.09999999999999754,2,5.984221458435059,7.920925617218018,6.128832817077637,0.020912444218993187,1,0,5,-0.037603,-0.037603,-0.037603,-0.037603,-0.03757,-0.10866,0.096379,-0.033124,3448
67,139,8,4,-1,0,0.09999999999999754,0,7.9379377365112305,10.051239967346191,8.04611587524414,0.011702509596943855,1,0,5,-0.03757,-0.03757,-0.03757,-0.03757,-0.037531,-0.108733,0.096426,-0.033127,3449
68,139,4,0,10,0,0.09999999999999754,0,10.072957038879395,5.967228412628174,10.0,0.005322729703038931,1,0,5,-0.037531,-0.037531,-0.037531,-0.037531,-0.037502,-0.108798,0.096469,-0.03313,3450
69,140,3,7,-1,0,0.09999999999999754,1,0.5556872487068176,2.207383394241333,0.986644983291626,0.18572457134723663,1,0,5,-0.037502,-0.037502,-0.037502,-0.037502,-0.037476,-0.108738,0.096507,-0.033133,3451
70,140,7,11,-1,0,0.09999999999999754,1,2.2248592376708984,3.222804546356201,1.9005239009857178,0.10519341379404068,1,0,5,-0.037476,-0.037476,-0.037476,-0.037476,-0.037452,-0.108773,0.096542,-0.033136,3452
71,140,11,10,-1,0,0.09999999999999754,2,3.2367186546325684,4.793267250061035,3.3139405250549316,0.005963217467069626,1,0,5,-0.037452,-0.037452,-0.037452,-0.037452,-0.037431,-0.108805,0.096583,-0.033138,3453
72,140,10,9,-1,0,0.09999999999999754,2,4.813930034637451,6.254635334014893,4.629171848297119,0.03413558751344681,1,0,5,-0.037431,-0.037431,-0.037431,-0.037431,-0.037412,-0.108833,0.096596,-0.03314,3454
73,140,9,8,-1,0,0.09999999999999754,2,6.25932502746582,7.827454566955566,6.044708728790283,0.04606015607714653,1,0,5,-0.037412,-0.037412,-0.037412,-0.037412,-0.037395,-0.108859,0.096582,-0.033142,3455
74,140,8,4,-1,0,0.09999999999999754,0,7.833481788635254,10.050601959228516,8.045541763305664,0.044969432055950165,1,0,5,-0.037395,-0.037395,-0.037395,-0.037395,-0.037361,-0.108882,0.096569,-0.033143,3456
75,140,4,0,10,0,0.09999999999999754,0,10.064933776855469,6.012409210205078,10.0,0.004216395318508148,1,0,5,-0.037361,-0.037361,-0.037361,-0.037361,-0.037336,-0.108903,0.096557,-0.033145,3457
76,141,3,7,-1,0,0.09999999999999754,1,0.050978124141693115,2.0194835662841797,0.8175351619720459,0.5876097083091736,1,0,5,-0.037336,-0.037336,-0.037336,-0.037336,-0.037313,-0.10871,0.096547,-0.033146,3458
77,141,7,6,-1,0,0.09999999999999754,2,2.0401101112365723,2.1066737174987793,0.8960063457489014,1.3089734315872192,1,0,5,-0.037313,-0.037313,-0.037313,-0.037313,-0.037293,-0.108537,0.096394,-0.033147,3459
78,141,6,10,-1,0,0.09999999999999754,1,2.1128530502319336,4.756489276885986,3.2808403968811035,1.364194393157959,1,0,5,-0.037293,-0.037293,-0.037293,-0.037293,-0.037274,-0.108061,0.096257,-0.033148,3460
79,141,10,9,-1,0,0.09999999999999754,2,4.735560417175293,6.243213653564453,4.618892192840576,0.013611475005745888,1,0,5,-0.037274,-0.037274,-0.037274,-0.037274,-0.037258,-0.107632,0.096119,-0.033149,3461
80,141,9,8,-1,1,0.09999999999999754,2,6.2274394035339355,7.932351112365723,6.139115810394287,0.007801057305186987,1,0,5,-0.037258,-0.037258,-0.037258,-0.037258,-0.037243,-0.107246,0.095984,-0.03315,3462
81,141,8,8,-1,1,0.09999999999999754,2,6.355003833770752,8.040785789489746,6.2367072105407715,0.01399409119039774,1,0,5,-0.037243,-0.037243,-0.037243,-0.037243,-0.037229,-0.106898,0.095847,-0.033151,3463
82,141,8,12,-1,1,0.09999999999999754,1,5.050590515136719,7.538999557495117,5.785099506378174,0.5395034551620483,1,0,5,-0.037229,-0.037229,-0.037229,-0.037229,-0.037217,-0.106384,0.095724,-0.033152,3464
83,141,12,8,-1,0,0.09999999999999754,0,7.559959411621094,8.615217208862305,6.753695487976074,0.6500614881515503,1,0,5,-0.037217,-0.037217,-0.037217,-0.037217,-0.037279,-0.105922,0.095613,-0.033152,3465
84,141,8,4,-1,1,0.09999999999999754,0,8.598528861999512,10.189162254333496,8.170246124267578,0.18342609703540802,1,0,5,-0.037279,-0.037279,-0.037279,-0.037279,-0.037373,-0.105505,0.095513,-0.033153,3466
85,141,4,4,-1,1,0.09999999999999754,2,7.264520168304443,10.093689918518066,8.084321022033691,0.6720734238624573,1,0,5,-0.037373,-0.037373,-0.037373,-0.037373,-0.037457,-0.105129,0.095526,-0.033154,3467
86,141,4,0,10,0,0.09999999999999754,0,10.069928169250488,5.948633670806885,10.0,0.004889948759227991,1,0,5,-0.037457,-0.037457,-0.037457,-0.037457,-0.03754,-0.104791,0.095538,-0.033154,3468
87,142,3,7,-1,0,0.09999999999999754,1,1.0506703853607178,1.9359488487243652,0.7423539161682129,0.09505904465913773,1,0,5,-0.03754,-0.03754,-0.03754,-0.03754,-0.037614,-0.104572,0.095548,-0.033154,3469
88,142,7,11,-1,0,0.09999999999999754,1,1.9412062168121338,2.5432591438293457,1.288933277130127,0.42545998096466064,1,0,5,-0.037614,-0.037614,-0.037614,-0.037614,-0.03768,-0.104554,0.095557,-0.033155,3470
89,142,11,10,-1,0,0.09999999999999754,2,2.5137012004852295,3.848716974258423,2.4638452529907227,0.002485615434125066,1,0,5,-0.03768,-0.03768,-0.03768,-0.03768,-0.037741,-0.104538,0.09556,-0.033155,3471
90,142,10,9,-1,0,0.09999999999999754,2,3.818950653076172,5.9805588722229,4.382503032684326,0.31759127974510193,1,0,5,-0.037741,-0.037741,-0.037741,-0.037741,-0.037795,-0.104523,0.095632,-0.033155,3472
91,142,9,10,-1,1,0.09999999999999754,3,3.492161989212036,4.990996360778809,3.491896629333496,7.041586513878428e-08,1,0,5,-0.037795,-0.037795,-0.037795,-0.037795,-0.037844,-0.10451,0.095698,-0.033156,3473
92,142,10,9,-1,0,0.09999999999999754,2,5.002835273742676,5.802468776702881,4.222221851348877,0.6093572974205017,1,0,5,-0.037844,-0.037844,-0.037844,-0.037844,-0.037887,-0.104499,0.095659,-0.033156,3474
93,142,9,8,-1,0,0.09999999999999754,2,5.78557825088501,7.8640947341918945,6.0776848793029785,0.08532628417015076,1,0,5,-0.037887,-0.037887,-0.037887,-0.037887,-0.037927,-0.104488,0.09566,-0.033156,3475
94,142,8,4,-1,0,0.09999999999999754,0,7.84255838394165,9.898308753967285,7.908477783203125,0.004345367196947336,1,0,5,-0.037927,-0.037927,-0.037927,-0.037927,-0.037957,-0.104478,0.095662,-0.033157,3476
95,142,4,0,10,0,0.09999999999999754,0,9.883123397827148,6.431372165679932,10.0,0.013660140335559845,1,0,5,-0.037957,-0.037957,-0.037957,-0.037957,-0.037973,-0.10447,0.095663,-0.033157,3477
96,143,3,7,-1,0,0.09999999999999754,1,1.378411889076233,2.5776829719543457,1.3199145793914795,0.0034219352528452873,1,0,5,-0.037973,-0.037973,-0.037973,-0.037973,-0.037987,-0.104478,0.095664,-0.033157,3478
97,143,7,11,-1,0,0.09999999999999754,1,2.5610358715057373,2.741894483566284,1.4677050113677979,1.1953723430633545,1,0,5,-0.037987,-0.037987,-0.037987,-0.037987,-0.038,-0.104786,0.095665,-0.033157,3479
98,143,11,10,-1,0,0.09999999999999754,2,2.70278000831604,3.729344367980957,2.356409788131714,0.11997232586145401,1,0,5,-0.038,-0.038,-0.038,-0.038,-0.038012,-0.105064,0.095622,-0.033157,3480
99,143,10,9,-1,0,0.09999999999999754,2,3.6730806827545166,5.903434753417969,4.313091278076172,0.40961354970932007,1,0,5,-0.038012,-0.038012,-0.038012,-0.038012,-0.038023,-0.105314,0.095664,-0.033158,3481
100,143,9,8,-1,1,0.09999999999999754,2,5.901122570037842,7.765993595123291,5.989394187927246,0.007791878655552864,1,0,5,-0.038023,-0.038023,-0.038023,-0.038023,-0.038032,-0.105539,0.095713,-0.033158,3482
101,143,8,4,-1,0,0.09999999999999754,0,7.751940727233887,9.821599960327148,7.839439392089844,0.0076560163870453835,1,0,5,-0.038032,-0.038032,-0.038032,-0.038032,-0.038033,-0.105741,0.095758,-0.033158,3483
102,143,4,0,10,0,0.09999999999999754,0,9.815747261047363,5.14857816696167,10.0,0.033949073404073715,1,0,5,-0.038033,-0.038033,-0.038033,-0.038033,-0.038017,-0.105923,0.095797,-0.033158,3484
103,144,3,7,-1,0,0.09999999999999754,1,0.7628817558288574,0.964321494102478,-0.13211065530776978,0.8010114431381226,1,0,5,-0.038017,-0.038017,-0.038017,-0.038017,-0.038002,-0.106333,0.095833,-0.033158,3485
104,144,7,11,-1,0,0.09999999999999754,1,0.8824032545089722,2.3440845012664795,1.1096758842468262,0.05165284872055054,1,0,5,-0.038002,-0.038002,-0.038002,-0.038002,-0.037989,-0.10664,0.095866,-0.033158,3486
105,144,11,10,-1,0,0.09999999999999754,2,2.322312831878662,3.8935229778289795,2.5041706562042236,0.03307226672768593,1,0,5,-0.037989,-0.037989,-0.037989,-0.037989,-0.037978,-0.106915,0.095918,-0.033158,3487
106,144,10,9,-1,0,0.09999999999999754,2,3.891707420349121,5.809960842132568,4.228964805603027,0.11374254524707794,1,0,5,-0.037978,-0.037978,-0.037978,-0.037978,-0.037967,-0.107164,0.096007,-0.033158,3488
107,144,9,8,-1,0,0.09999999999999754,2,5.8212432861328125,8.070950508117676,6.263855457305908,0.19590553641319275,1,0,5,-0.037967,-0.037967,-0.037967,-0.037967,-0.037958,-0.107388,0.096144,-0.033158,3489
108,144,8,4,-1,0,0.09999999999999754,0,8.076358795166016,9.896723747253418,7.907051086425781,0.028665101155638695,1,0,5,-0.037958,-0.037958,-0.037958,-0.037958,-0.037964,-0.107589,0.096267,-0.033158,3490
109,144,4,0,10,0,0.09999999999999754,0,9.896553993225098,5.325813293457031,10.0,0.010701076127588749,1,0,5,-0.037964,-0.037964,-0.037964,-0.037964,-0.037961,-0.10777,0.096377,-0.033158,3491
110,145,3,7,-1,0,0.09999999999999754,1,0.27176767587661743,0.8419607281684875,-0.24223536252975464,0.2641991376876831,1,0,5,-0.037961,-0.037961,-0.037961,-0.037961,-0.037958,-0.108075,0.096477,-0.033158,3492
111,145,7,7,-1,1,0.09999999999999754,3,0.10049983859062195,1.499577522277832,0.3496197462081909,0.062060728669166565,1,0,5,-0.037958,-0.037958,-0.037958,-0.037958,-0.037956,-0.10835,0.096567,-0.033092,3493
112,145,7,11,-1,0,0.09999999999999754,1,1.4671825170516968,2.513496160507202,1.2621464729309082,0.04203977808356285,1,0,5,-0.037956,-0.037956,-0.037956,-0.037956,-0.037953,-0.108653,0.096648,-0.033033,3494
113,145,11,10,-1,0,0.09999999999999754,2,2.519993543624878,4.25885534286499,2.8329696655273438,0.09795404970645905,1,0,5,-0.037953,-0.037953,-0.037953,-0.037953,-0.037951,-0.108927,0.09676,-0.032979,3495
114,145,10,9,-1,0,0.09999999999999754,2,4.287894248962402,6.083627700805664,4.475264549255371,0.035107631236314774,1,0,5,-0.037951,-0.037951,-0.037951,-0.037951,-0.037949,-0.109173,0.096885,-0.032931,3496
115,145,9,8,-1,1,0.09999999999999754,2,6.105372428894043,7.8729681968688965,6.085671424865723,0.0003881295560859144,1,0,5,-0.037949,-0.037949,-0.037949,-0.037949,-0.037947,-0.109394,0.096996,-0.032888,3497
116,145,8,4,-1,0,0.09999999999999754,0,7.875419616699219,9.838567733764648,7.854710578918457,0.00042886423761956394,1,0,5,-0.037947,-0.037947,-0.037947,-0.037947,-0.037948,-0.109594,0.097095,-0.032849,3498
